gameID,game_datetime,blackID,blackELO,redID,redELO,winner
57380690,2017-02-10 13:11:10,levinhson,1382,baochang,1495,red
57380691,2017-02-10 13:21:43,phucnguyen,1269,quanem,1282,red
57380692,2017-02-10 13:23:04,pgm2785g,1253,swf2016g,1186,black
57380693,2017-02-10 13:09:58,cbk4833g,1209,ftc484g,1426,black
57380694,2017-02-10 13:18:06,stephenlee,919,tsk8201g,1235,red
57380695,2017-02-10 13:14:35,kgw8959g,1271,gdt507g,1165,black
57380696,2017-02-10 13:00:44,ffk6813g,1383,vvm69,1393,red
57380697,2017-02-10 13:22:13,dww8899g,1185,mpt1104g,1426,black
57380698,2017-02-10 13:24:05,cflin844,1252,trungtg,1414,red
57380699,2017-02-10 13:18:06,tkc8560g,1335,nguyenhongvui,1309,red
57380700,2017-02-10 13:16:34,tks3202g,971,fmf6252g,1185,red
57380701,2017-02-10 13:25:11,tfb9170g,1032,tfd5789,1226,red
57380702,2017-02-10 13:20:02,mydanggiang,1096,kwp7648g,1227,red
57380703,2017-02-10 13:22:44,bin05,1325,truongthem,1493,red
57380704,2017-02-10 13:20:16,yeuvan,1447,dms6737g,1312,red
57380705,2017-02-10 13:22:34,hoangthanhtam,1444,smf2625g,1187,black
57380706,2017-02-10 13:19:56,twg9735g,1376,tgs7886g,1297,red
57380707,2017-02-10 13:21:13,jackfeng,1121,kdb2938g,1071,black
57380708,2017-02-10 13:22:09,sapcodiban,1168,a8888,1327,black
57380709,2017-02-10 13:01:18,sbd8869g,1430,tientot1,1437,red
57380710,2017-02-10 13:13:01,snn4506,1048,dungdanxect,1163,black
57380711,2017-02-10 13:22:04,phuongthao99,1255,nguyentha81,1414,red
57380712,2017-02-10 13:06:33,thanhcadcam,1396,vncumit,1233,red
57380713,2017-02-10 13:11:41,pfb7907g,1235,fsk2786g,1263,red
57380714,2017-02-10 13:16:14,stb1786g,1204,cmt3284g,1200,red
57380715,2017-02-10 13:02:41,gagu78,1169,fkp4514g,1113,red
57380716,2017-02-10 13:20:34,phongdao,1379,quocthang1979,1241,black
57380717,2017-02-10 13:22:46,cgd5601g,1200,buithiymai,1297,red
57380718,2017-02-10 13:21:40,thaihoadiep,1362,hoangnamvtd,1381,black
57380719,2017-02-10 12:58:42,12khwan,1589,tigermanluong,1475,black
57380720,2017-02-10 13:22:37,wbt6222g,1147,haimap2342,1123,black
57380721,2017-02-10 13:20:32,dungchau1623,1342,choicotuongo,1435,black
57380722,2017-02-10 13:24:31,ankhanh42dcvn,1411,kfd2623g,1204,black
57380723,2017-02-10 13:22:56,vxcat,1385,nghixuan,1300,black
57380724,2017-02-10 13:15:57,chamdv,1044,huong1991,1407,red
57380725,2017-02-10 13:11:11,thanhphonghot,1387,azertyty,1291,red
57380726,2017-02-10 13:17:56,tmb1985,947,ftp9435g,1020,red
57380727,2017-02-10 13:10:45,bwg2581g,1427,web4use,1594,red
57380728,2017-02-10 13:22:34,fcg341g,1402,trungdv,1261,black
57380729,2017-02-10 13:23:26,fkw1739g,1310,cpp5876g,1300,red
57380730,2017-02-10 13:15:53,tunganh71,1130,ffk2305g,1187,red
57380731,2017-02-10 13:14:37,nnk9699g,1162,pkt33,1363,red
57380732,2017-02-10 13:20:56,bagia,1205,ruacon81,1130,red
57380733,2017-02-10 13:23:25,tieulyphigai,1277,uyenduc,1376,red
57380734,2017-02-10 13:24:34,hailuacovit,1231,a2904,1379,red
57380735,2017-02-10 13:13:51,mwn2040g,1157,tn123tn,961,red
57380736,2017-02-10 13:09:26,mikeky,1352,chuconuong,1385,red
57380737,2017-02-10 13:23:38,fdg3943g,1484,minhtrihan1,1225,black
57380738,2017-02-10 13:20:24,caothidung,1124,losam228,1249,red
57380739,2017-02-10 13:22:07,wdb6768g,1438,uniqlo,1549,red
57380740,2017-02-10 13:21:54,kkkkkk1qasw2,1177,bcd1586g,1200,black
57380741,2017-02-10 13:24:30,tds7344g,991,ntn8804g,1275,black
57380742,2017-02-10 13:21:42,ftf2667g,1236,tnn2424g,1276,black
57380743,2017-02-10 13:11:51,trang2009,1439,ngodangha62,1045,black
57380744,2017-02-10 13:20:09,gff4195g,1127,gtd3252g,1203,red
57380745,2017-02-10 13:26:08,sff9140g,1084,sangtt58,982,red
57380746,2017-02-10 13:18:04,hungdh2004,1467,mtt8559g,1042,black
57380747,2017-02-10 13:14:45,thienpro,1170,sjc9999,1170,black
57380748,2017-02-10 13:26:13,tramy5,1364,dwb3335g,1561,red
57380749,2017-02-10 13:14:42,gnd7090g,903,phienban2,1084,black
57380750,2017-02-10 13:19:19,nbg1474g,1207,mbf775g,1070,red
57380751,2017-02-10 13:23:38,gaplachien,1034,cpc5478g,1212,red
57380752,2017-02-10 13:21:27,tsb5866g,1200,tsb9784g,1052,red
57380753,2017-02-10 13:21:31,baytungtung,1647,metto222,1690,black
57380754,2017-02-10 13:10:25,vuilennao66,1347,ptlvinhk,1050,black
57380755,2017-02-10 13:19:01,dff3512g,1200,tcg9113g,1430,red
57380756,2017-02-10 13:12:27,wnd4813g,1041,khanhly2013,1167,red
57380757,2017-02-10 13:12:43,pfs2327g,985,mafuga,1200,black
57380758,2017-02-10 13:17:53,congca2014,1277,bathan1070,1348,red
57380759,2017-02-10 13:18:01,ppn9848g,1144,bbn9073g,1264,red
57380760,2017-02-10 13:26:22,longhoholong,1175,cdn7231g,1123,red
57380761,2017-02-10 13:13:04,hieuva,1118,covui2017,1220,red
57380762,2017-02-10 13:20:57,phaoma,1336,camtu2003,1326,red
57380763,2017-02-10 13:16:56,smn6295g,1022,a1050,1146,red
57380764,2017-02-10 13:22:16,ductuank7,1340,gsn6197g,1226,red
57380765,2017-02-10 13:17:58,hien1001,1386,longtu76,1243,red
57380766,2017-02-10 13:25:34,binhphuoc23,1090,ncn5527g,1297,red
57380767,2017-02-10 13:21:42,md0123,1172,chingklin,1259,red
57380768,2017-02-10 13:22:25,cdw7352g,1318,vanthoi79,1193,black
57380769,2017-02-10 13:25:56,gdd8721g,1133,haidat,1062,red
57380770,2017-02-10 13:05:10,kmt6245g,1189,snb727g,1316,black
57380771,2017-02-10 13:23:35,dfd8486g,1039,faichou,1219,red
57380772,2017-02-10 13:15:13,tranquochuy1,1175,skf3856g,1299,black
57380773,2017-02-10 13:26:29,mpn6774g,1404,traonvinhlong,1331,black
57380774,2017-02-10 13:24:35,hhl1,1487,cotuongbg,1451,black
57380775,2017-02-10 13:26:52,thinhly,1227,bpm697g,1190,red
57380776,2017-02-10 13:19:14,tpc6058g,1396,btb994g,1242,red
57380777,2017-02-10 13:13:55,loongloong,1380,tuongsytot,1338,black
57380778,2017-02-10 13:24:33,144nlb,1041,havanhuan,1018,red
57380779,2017-02-10 13:24:29,cpp4873g,1322,mkf4585g,1210,black
57380780,2017-02-10 12:59:47,ptm7263g,1471,nguyenhung16,1605,black
57380781,2017-02-10 13:24:50,ncg5382g,1442,mcb3465g,1591,red
57380782,2017-02-10 13:19:02,nsg7840g,1250,yenloan2009,1335,black
57380783,2017-02-10 13:15:20,dimarr,1230,bwb2037g,1294,black
57380784,2017-02-10 13:16:11,nwg8448g,1057,giangphuly,1239,black
57380785,2017-02-10 13:17:49,kimngocqn65,1198,skn1166g,1267,black
57380786,2017-02-10 13:23:38,ftb4798g,1223,pnw2731g,1154,black
57380787,2017-02-10 13:13:23,dungphamle,1259,bnk355g,1526,red
57380788,2017-02-10 13:21:26,concon75,1352,btnl,1287,red
57380789,2017-02-10 13:15:44,gsn7127g,1301,bgt3515g,1355,red
57380790,2017-02-10 13:28:47,ngf4121g,938,mbf775g,1092,red
57380791,2017-02-10 13:24:09,aidaynhi11,1344,siu888,1205,black
57380792,2017-02-10 13:11:33,gct8877g,1206,kbs8509g,1365,red
57380793,2017-02-10 13:17:03,ctt5267g,1171,kkg2748g,1232,red
57380794,2017-02-10 13:24:14,vitbackinh22,1308,gnw7104,1497,red
57380795,2017-02-10 13:08:55,bbc4220g,1184,ddg787g,1217,black
57380796,2017-02-10 13:24:08,danhcovui15,1482,0000vt,1462,black
57380797,2017-02-10 13:12:43,songlongphao,1309,quocbao83,1434,tie
57380798,2017-02-10 13:22:04,tuanmap72,1504,btk6173g,1195,black
57380799,2017-02-10 13:22:35,gatoi78,1381,nghuuthieu,1468,red
57380800,2017-02-10 13:19:48,binbinbin123,1315,ngoquocthinh1,1416,red
57380801,2017-02-10 13:16:14,psn8895g,946,dsm2026g,1153,red
57380802,2017-02-10 13:18:15,haidaica123,1441,gsm2035g,1211,black
57380803,2017-02-10 13:13:47,purples,1365,tienhuanchien,1429,black
57380804,2017-02-10 13:15:33,bgs7835g,1165,kmn841g,1210,black
57380805,2017-02-10 13:21:51,tmg8560g,1104,dtb7734g,1376,red
57380806,2017-02-10 13:08:23,sdj6734g,1173,hungtin81,1158,tie
57380807,2017-02-10 13:27:24,trungphanvan,1404,lieuquy,1415,black
57380808,2017-02-10 13:19:07,hungvietnam,1079,wcc1114,1097,black
57380809,2017-02-10 13:24:02,thieudangkhoa,1160,3laugialai,1532,red
57380810,2017-02-10 13:26:45,cnn7258g,1200,dps6318g,1172,black
57380811,2017-02-10 13:20:49,nkw4545g,1198,tunglam48,1036,red
57380812,2017-02-10 13:27:07,btd9554g,1069,sdw886,1229,red
57380813,2017-02-10 13:16:03,gpk1578g,1115,minhvanhoang,1450,black
57380814,2017-02-10 13:23:03,deosoai12,1248,bck2988g,1219,black
57380815,2017-02-10 13:27:42,nguyentha81,1423,phuongthao99,1246,black
57380816,2017-02-10 13:18:11,fng8929g,1309,ttb7697g,1315,red
57380817,2017-02-10 13:20:53,dnb4572g,1115,ftc6986g,1089,black
57380818,2017-02-10 13:26:07,quest1234,1412,phamtinh2016,1500,black
57380819,2017-02-10 13:24:47,cpm3799g,1040,stp9778g,1420,red
57380820,2017-02-10 13:21:38,khanhbul,1288,bsw3201g,1265,black
57380821,2017-02-10 13:21:58,sbccong,1328,vanvomh1972,1452,red
57380822,2017-02-10 13:24:30,oakwood28,1307,sieucaothuvn,1336,red
57380823,2017-02-10 13:25:49,quyendzima,1262,cubi23,1281,black
57380824,2017-02-10 13:25:44,wmn241g,1439,cothapma,1634,red
57380825,2017-02-10 13:29:13,vanthoi79,1183,cdw7352g,1328,red
57380826,2017-02-10 13:25:46,lmkok,1065,mamtom,1331,red
57380827,2017-02-10 13:24:49,phandung99,1498,thanhtongtm,1331,red
57380828,2017-02-10 13:28:55,mafuga,1175,pfs2327g,1010,red
57380829,2017-02-10 13:27:34,fmf6252g,1192,tks3202g,964,black
57380830,2017-02-10 13:27:30,trungtg,1423,cflin844,1243,black
57380831,2017-02-10 13:26:37,npc2044g,1200,pgp1426g,1004,red
57380832,2017-02-10 13:27:38,tsk8201g,1239,tfd5789,1234,black
57380833,2017-02-10 13:25:14,anhvu16,1333,stm3460g,1268,red
57380834,2017-02-10 13:24:00,tgk5241g,1084,467hanoi,1278,red
57380835,2017-02-10 13:23:57,knt4937g,1048,phule,1307,black
57380836,2017-02-10 13:24:36,pss7198g,1292,chenzhang,1319,black
57380837,2017-02-10 13:26:00,cocomsk,1144,sgb1064g,1333,black
57380838,2017-02-10 13:16:20,kpn4467,1436,yeukts,1351,black
57380839,2017-02-10 13:13:54,fbb131g,1161,nkd1289g,1144,red
57380840,2017-02-10 13:25:10,vinataba,1416,dieplientu1,1454,red
57380841,2017-02-10 13:27:07,bkb2874g,1199,pvh101,1175,black
57380842,2017-02-10 13:24:08,amical12,1325,darkrise,1416,red
57380843,2017-02-10 13:22:17,kcb3137g,1306,vosatuong,1292,black
57380844,2017-02-10 13:16:59,karelcz,1524,dong1966,1541,red
57380845,2017-02-10 13:24:05,sodier,1227,cdg5959g,1200,red
57380846,2017-02-10 13:20:33,tuyetem,1497,khanh1963,1408,red
57380847,2017-02-10 13:24:10,haoxiaozi,1519,chuasuoitam,1427,red
57380848,2017-02-10 12:58:43,limqixian,1266,onlineplayer,1469,red
57380849,2017-02-10 13:24:47,tgw7749g,1406,yemhan,1393,red
57380850,2017-02-10 13:27:20,fwm7507,977,thquoc,1018,red
57380851,2017-02-10 13:30:10,ftc6986g,1074,dnb4572g,1130,red
57380852,2017-02-10 13:22:27,tsctsc,1219,xuantien84,1128,red
57380853,2017-02-10 13:22:56,kkd1969,1406,ppk9791g,1135,black
57380854,2017-02-10 13:30:42,vinataba,1402,diieplientu,1415,red
57380855,2017-02-10 13:21:12,pnk5718g,1216,xaxu,1191,black
57380856,2017-02-10 13:28:20,minhtrihan1,1219,fdg3943g,1490,red
57380857,2017-02-10 13:16:01,miuxinh1,1390,vosonduan,1440,red
57380858,2017-02-10 13:30:15,bsw3201g,1250,khanhbul,1303,black
57380859,2017-02-10 13:29:28,mcm1890g,1200,nguyentam51,1392,red
57380860,2017-02-10 13:26:07,ntw868g,1412,dgs3593g,1391,black
